Asesor,Nombre de tesista,Año de publicación,Resumen,Insitución,Titulo de la tesis,Grado
"Sal y Rosas Celi, Víctor Giancarlo","Ormeño Meza, Rubén Aaron",2021-04-26,"La brecha salarial entre hombres y mujeres es un tema abordado con mucho énfasis en los últimos años y los profesionales del sector salud no son ajenos a esta problemática. En el desarrollo del presente trabajo de investigación se tuvo por objetivo implementar un modelo de regresiones gamma que permita modelar el ingreso del profesional de salud diferenciándolo según sexo, profesión y otras variables confusoras. La estimación de los parámetros se llevó a cabo desde una perspectiva bayesiana. Estos métodos de estimación se exploran mediante implementaciones computaciones con el software R y Stan. La ventaja principal de
usar el enfoque bayesiano en el modelo de regresiones gamma es la posibilidad de añadir variables confusoras como componentes espaciales. Para ello, se define teóricamente el modelo y se explican los conceptos de geoestadística y modelos espaciales necesarios para el trabajo. Finalmente, el modelo se ilustra mediante una aplicación que usa una encuesta con representatividad nacional sobre el sistema de salud en el Perú.",Pontificia Universidad Católica del Perú,Brecha en ingresos por género en el sector salud implementación bayesiana,Bachiller en Ciencias con mención en Estadística
"Jara García, Carlos Alberto","Ramos Cuadros, Eielson Johnne",2021-11-13,"Currently, mobile devices enjoy great popularity among the world population, since they allow us to perform most of our activities, from work to entertainment, in a simple and comfortable way, as well as having the ability to complement each other. Likewise, it is common for a home to have more than one device and applications that allow us to take advantage of this interaction between several devices to accomplish a certain task are becoming more popular. However, in the field of mobile video games, video games that allow us to take advantage of the different devices in the home have not yet become popular. Based on the points mentioned above, we propose in this thesis to demonstrate that a better gaming experience could be generated by developing video games that allow interaction between various mobile devices using the accelerometer. For this purpose, a dice-based empire conquest video game called Dice Combat was developed, which will allow players, at certain moments of the game, to throw their dice from one device to another by using the shaking gesture. This connection and interaction were achieved using the Forge Networking library and, subsequently, acceptance tests were conducted with players to demonstrate the improved gaming experience.",Universidad Peruana de Ciencias Aplicadas (UPC),Desarrollo de un videojuego de combate de dados para dispositivos móviles utilizando patrones de Ensemble Interactions,Ingeniero de Software
"Barrientos Padilla, Alfredo","Veliz Huamán, Luis Fernando",2022-07-29,"The purpose of this project is to increase sales in the stores of a company of the retail sector, since the promotion of suggested products through the traditional method is deficient when trying to offer products for the company’s in-store application. For this reason, this project wants to propose the use of IoT (Internet of Things) technologies like beacons through a library. This will allow the library to be integrated with the in-store application to facilitate the communication with beacons, and the sending of notifications with promotions and suggestions. 

To achieve this objective, we carried out the investigation of technological solutions that make this process and have similarities with the proposal. This allowed us to identify the main challenges to implement this type of solutions and know which one is more similar to the customer’s requirements. Additionally, we analyzed algorithms that allow to know the proximity between a beacon and a mobile device, and in this way, being able to send the promotions and suggestions that are found near to the client’s location. 

Finally, through the wireframes designed for the proposal, a survey was conducted on a group of 20 people to find out if they were interested in buying the products offered by this channel.",Universidad Peruana de Ciencias Aplicadas (UPC),Biblioteca para el envío de sugerencias y promociones mediante beacons para una aplicación móvil in-store en una empresa retail,Ingeniero de Software
"Barrientos Padilla, Alfredo","Vega Balbín, Antonny Giancarlo",2022-05-30,"The objective of this project is to implement a Maven library that can be used by the consulted organization to be able to automate one of the tasks of the software development process that each of their respective teams elaborates. This automation will be able to generate the documentation of the java REST services developed by the company automatically, thus reducing the time required in the process, which achieves different benefits, including an economic one. 

For the realization of this project, the different reasons why the technical documentation is often inefficient or non-existent were investigated, with them it was possible to give a better approach to the solution to be proposed, so that its benefit can be maximized. In addition, for the implementation project, the optimal methodology for its development was analyzed, as well as the programming language and the different specialties that the team would require. 

The proposed solution requires a set of tools so that it can be used in the best way, including Jenkins for continuous integration, Bitbucket for storage and source code versioning, and Artifactory to store the generated artifacts. All of these have been validated by the consulted organization.",Universidad Peruana de Ciencias Aplicadas (UPC),Biblioteca Maven para la generación automatizada de documentación de APIs REST desarrollados en Java y Spring Boot,Ingeniero de Software
"Jara Garcia, Carlos Alberto","Lara Camarena, Rodrigo Max",2022-03-12,"Nowadays, companies need to have a greater presence on the Internet to advertise and inform their products or services using web pages. However, development involves high costs and time, as well as specialized staff. For this reason, we propose the implementation of a solution that allows users to generate a web page from hand-drawn drawings, better known as wireframes, reducing the time and cost of investment. In this research, a model based on the standard nomenclature of basic wireframes of a web page and the development of a tree-based algorithm for the transformation of wireframes to HTML and CSS code were made. The results show the acceptance of users who have no programming knowledge, since they find in the tool a simple way to generate web pages. In addition, it shows a reduction in the time invested by developers in the process of transforming wireframes to source code.",Universidad Peruana de Ciencias Aplicadas (UPC),Generador de páginas web a partir del reconocimiento de patrones de wireframes,Ingeniero de Software
"Aliaga Cerna, Esther","Van Waerebeek Alfaro, Kenzo Ettore",2020-07-24,"The artistic elements exhibited in museums and art galleries are manifestations of human activity. The information on these elements is extensive and explanatory summaries, brochures, and audio guides are used to help attendees understand the history of a particular object in a collection. However, these tools are classified as obsolete for being unattractive and they do not meet the objective of informing the public. 

One of the greatest challenges of the establishments is maintaining relevant assistance, and this is achieved by providing a different experience than the conventional one. Different technological solutions are already being used in cultural establishments to attract, inform and entertain in non-traditional and innovative ways. 

In the case of augmented reality, there are many reasons to implement such technology in a museum or art gallery. It can be used to display information of what a visitor observes in a museum through digital panels. Also, augmented reality allows inert objects to come to life with animations, which could be useful in art galleries with collections that require more interpretation. Likewise, we could observe how three-dimensional models are displayed on a device to guide the assistant through a narration. These ideas would add value to the collections displayed and would attract a larger target audience. 

The use of this type of solutions would help establishments adapt, evolve and connect with their main customers, generating unique and memorable experiences.",Universidad Peruana de Ciencias Aplicadas (UPC),Augmented Reality Modern Art Museum,Ingeniero de Software
"Burga Durango, Daniel","Mori Yzaguirre, Daniel Enrique",2021-11-17,"Today the simulation of real environments is a process of constant evolution. This extends from research fields in medicine to architecture being in the latter a simulation system regarding evacuations flows or measurements of environments. 

 

However, the existing systems have given much to talk about in this context since most of them have a programming interface where the user oversees programming both the environments and the flow behavior of simulated agents. Generating a level of complexity in these as it diverts the natural knowledge of architecture students at the level of learning different programming languages ​​to be able to simulate their environments and the behavior of people in them. 

  

On the other hand, these systems in turn focus on already established movements where the user does not appreciate or has no idea of ​​how the route made by the agent is optimal compared to other existing ones. Being this defined by the system and not by the user. 

  

Consequently, because of research a software for the simulation editing and analysis of the influx of people in high-traffic buildings is proposed to improve the quality of learning of architecture students. Developing this work in stages. Where the first stage consists of defining the scope of the project needs and objectives as well as business opportunities. In the second stage the necessary frameworks will be listed of which their advantages and disadvantages corresponding to the demands of our simulation will be explained and thirdly after having selected one we will proceed with the research proposal as well as its technical comparison with other solutions. 

 

Finally, the following will be treated as problematic: “The need for a simulation tool that is easy to use low in cost, maintenance and free of programming languages regarding the influx of people.",Universidad Peruana de Ciencias Aplicadas (UPC),"Software de simulación edición y análisis de afluencia de personas, en edificaciones de alto tránsito, para mejorar la calidad de aprendizaje de los estudiantes de arquitectura",Ingeniero de Software
"Pérez Pichis, Roy","Molina Espinoza, David Glenn",2021-05-20,"Traditionally, humans use conventional tables at home, offices, and as design centers, these are elements found everywhere on which multiple tasks are performed. Such objects have the particularity to gather many individuals in order to carry out any collaborative tasks. Large Screen Surface is the digital evolution of tables, since they are large touch screens that can be set horizontally or vertically allowing multitouch interaction by many users. In recent years, interest in the development of applications for such devices has increased, since its screens offer a large visual field in high resolution; additionally, its physical configuration allows multiple users to work simultaneously in situ. This research proposes the development and implementation of a collaborative web application which allows multiple users to create content such as concept maps, moodboards, timelines, etc. Users have a collective library which contains visual resources such as videos, shapes, images and text input.",Universidad Peruana de Ciencias Aplicadas (UPC),Desarrollo de una aplicación web colaborativa para dispositivos large screen surfaces,Ingeniero de Software
"Pérez Pichis, Roy","Pachas Baños, Andrea Gladis",2021-09-23,"In recent years, virtual reality, augmented reality, and immersive mixed reality in data visualization has been heavily influenced by video game companies, analysts, scientists, and developers. These seek to blur the boundaries that exist between the real world and a perceptual unreal environment in order to evaluate, analyze and make decisions for the future. The data is very relevant in all fields. However, any type of data does not matter if it is not represented, organized and does not present important findings. Data visualization is not just a way to present data, but a way to explore and understand it. Therefore, the main objective of this project is to implement an application that demonstrates the impact of virtual reality on 3D data visualization solutions using HTC Vive in order to maximize the understanding, presentation and management of data, based on good practices. of design applied to referring solutions. The following documents will be presented: the documentation of the proposed usage and design guidelines for the virtual reality data visualization application, a comparative evaluation of the 2D data visualization graphics and 3D in virtual reality, proofs of concept showing the applied guidelines and the development of the application during the academic year 2018 and 2019.",Universidad Peruana de Ciencias Aplicadas (UPC),Desarrollo de una aplicación de visualización de datos con realidad virtual,Ingeniero de Software
"Barrientos Padilla, Alfredo","Rondan Rojas, Richard Paul",2020-11-11,"Currently, there are several publications on the use of Gamification and Serious Game to support topics that are difficult to understand for students of the Software Engineering career, but none have yet covered the subject of arrays. This work proposes a serious game to help understand the basic concepts of arrangements to promote the learning process of these topics in first-cycle students of the Software Engineering career. 

This research focused on arrays and matrices that are programming topics that represent a high degree of difficulty for some first cycle students. The Arrays topic is divided into three main concepts that students should understand: Operations with one-dimensional arrays, Ordering with one-dimensional arrays, and Two-dimensional arrays. 

To conceptualize the areas of knowledge mentioned above in the proposed Serious Game, some elements must be considered: Dynamics, Mechanics, and Components. 

Based on the characteristics and objectives of the game, the project was called “Ultimate Arrays” which will develop under the Scrum framework due to the multiple iterations that Serious Games usually go through and the flexibility it offers.",Universidad Peruana de Ciencias Aplicadas (UPC),Propuesta para el desarrollo de un juego serio para ayudar a la comprensión de conceptos básicos de arreglos,Ingeniero de Software
"Barrientos Padilla, Alfredo","Puelles Cáceres, Christian Leonardo",2020-11-10,"The motivation and engagement of the members of a software development team are essential today, even more so in agile projects, since the success of the project implementation falls on them. Identifying what decisions they can make to estimate tasks or user stories and identifying their participation percentage is too important since the fulfillment of the project development objectives depends on this. To achieve this, the implementation of a serious game, on a web platform, is proposed that allows a software development team to carry out its requirements based on the assignments made by its project manager (manager) and complete them throughout the iterations. The game shows a competitive environment that contains fortuitous events, which will allow the development team to make decisions to carry out the project.",Universidad Peruana de Ciencias Aplicadas (UPC),Juego serio para aumentar la motivación y compromiso del equipo de desarrollo en el proceso de desarrollo de software,Ingeniero de Software
"Barrientos Padilla, Alfredo","Torre Saenz, Oscar Manuel",2020-11-28,"In this project we aim to design a serious virtual reality game to help the dissemination of the history and heritage of Perú, and support in this way the growth of tourism. To achieve this, we want to motivate and encourage potential tourists to visit Perú through a game that will be developed for smartphones and will require the use of virtual reality headsets. Inside the game, the player will be able to visit 3 tourist destinations where they will have to collect the pieces of a puzzle before time runs out and they will be rewarded with a video, images and/or an interesting fact about the destination. The game was designed to take advantage of the immersion offered by virtual reality, gamification techniques and the exposure of users to information presented in an attractive and entertaining way about the tourist places. Additionally, the game will have a system that will be able to recommend the best tourist place for a specific player using the clustering technique from machine learning. At the end of the game, the player will be asked to fill out a questionnaire with questions to determine if their visiting intention has increased or remained the same. Finally, it was confirmed with the support of several papers that virtual reality and learning about new tourist destinations, increases the desire to visit and get to know these places.",Universidad Peruana de Ciencias Aplicadas (UPC),Diseño de aplicación de realidad virtual para la promoción del turismo e incremento de la intención de visita de turistas a Perú,Ingeniero de Software
"Barrientos Padilla, Alfredo","Tomairo Méndez, Miguel Ángel",2020-11-28,"Actually, various organizations and states are concern about climate change. Peru is one of the countries that is being affected by this problem, so it has the need to implement solutions that can help mitigate these impacts in the affected regions of our country; one of them the Amazon, because of deforestation being one of its main illegal activities that destroys this ecosystem. In this way, we present a solution proposal through a serious game called ReforestApp. This application will make people aware of the effects of climate change in the Amazon forests of Peru. The purpose of the game is to teach the population that it is possible to recover the depredated forests with reforestation, preserve the flora and fauna of the Amazon, and mitigate the effects of climate change in the affected regions. 

In this work, a serious game will be designed based on some features that will maximize its effectiveness in raising people's awareness, a concept document of the game with its mechanics, characters and settings, the use of artificial intelligence for some characters, a videogame development methodology and the requirements of technological tools, development team, costs and budget of the solution.",Universidad Peruana de Ciencias Aplicadas (UPC),ReforestApp,Ingeniero de Software
"Barrientos Padilla, Alfredo","Aguirre Valera, Jeffrey Axel",2020-11-27,"The trend of microservices every day has a greater participation in companies in the software industry for application development thanks to the features and solutions they offer. Adopting this architectural style turns out to be a challenge for many people especially in the design stage of the life cycle of a software. In this initial phase the selection of software design patterns and quality attributes are essential for all software creation. However, we have found that adapting microservices, to establish a new architecture, becomes tedious when it comes to establishing quality attributes in the design of a software project. On the other hand, a technique for the effective teaching and learning of software engineering knowledge turns out to be the application of serious games. In this project, we propose the design of a serious game for learning design patterns that satisfy the software quality attributes of an architecture based on microservices in order to face these challenges and complications.",Universidad Peruana de Ciencias Aplicadas (UPC),Aprendizaje de patrones de diseño de microservicios mediante un juego serio,Ingeniero de Software
"Barrientos Padilla, Alfredo","Tamayo Guerra, David Alberto",2020-11-28,"This thesis presents the design of a gamified smartphone application, Android or iOS, which aims to promote saving habits. The main target public of this application is people between 25 and 35 years old from Peru. 

In order to achieve this objective, we analyze two important concepts, gamification is the first one, what are the current uses and the main design elements. The second group is about electronic banking, how it works today, and some uses of gamification on it. 

Finally, the game conceptualization is reflected. This definition consists of the game design, mechanics and dynamics, how it will help to promote saving habits and how these will be validated. In addition, the development proposal, organization chart, technologies involved, schedule and costs are detailed.",Universidad Peruana de Ciencias Aplicadas (UPC),Aplicación móvil para smartphone para fomentar hábitos de ahorro en personas entre 25 y 35 años basado en principios de gamificación en Perú,Ingeniero de Software
"Barrientos Padilla, Alfredo","Salazar del Aguila, César Manuel",2020-11-09,"This project consists of the design of a technological tool focused on children and adolescents that allows the development of knowledge and healthy habits in eating based on Gamification and Serious Games. 

The use of Gamification and Serious Games is an alternative to traditional teaching that allows us to create an environment that is not only entertaining, but also educational for the user. Nutrition concepts will be used to develop a Serious Game turn-based strategy card game and Gamification techniques will be used to design an approach to rewards, challenges, levels and ranks that motivate players during their experience using the Video Game. Likewise, socialization functionalities will be included to generate healthy competitiveness among the players, and questionnaires will be added to strengthen knowledge and healthy eating habits. 

This project is geared towards Android and iOS mobile platforms and will use open source tools along with a powerful game engine. During the development of this project, a demonstration of the theme of the game will be developed that reflects the objectives to be met.",Universidad Peruana de Ciencias Aplicadas (UPC),Aplicación móvil que permita desarrollar conocimientos y hábitos saludables en la alimentación en niños y adolescentes basados en gamificación y juegos serios,Ingeniero de Software
"Burga Durango, Daniel Wilfredo","Egusquiza Torres, Carlos Wilfredo Junior",2019-09-30,"Long, the Emplantillado with patterns Construction has been very important in any building, as this varies in difficulty according to the environment in which it is located. However, realization of this practice of architecture students, is performed physically in a place with a certain amount of materials, which only have a chance.
Today, with technological advances, construction simulations can be practiced by web applications and / or mobile. Which brings us to the possibility of determining whether performed well and then just run it in real life and in the right way.
This paper aims to provide a mobile application support and complement the learning of students of the faculty of architecture during preliminary works. This will allow, through a serious game, Emplantillado perform simulation. To do this, an interactive mobile application will be implemented using user-friendly interfaces, which the student digitally interact with the building blocks. In addition, it will store the scores, attempts and times of each of them, to possess information relevant to the teacher and the respective control of their students.",Universidad Peruana de Ciencias Aplicadas (UPC),Desarrollo de una aplicación de enseñanza para emplantillado de patrones de construcción,Ingeniero de Software
"Parasi Falcón, Víctor Manuel Juan Pablo","Guerrero Carhuavilca, Andrea Midori",2019-11-29,"In recent years, technology has been characterized by having great advances which can be applied to a joint benefit. The current physical rehabilitation centers in Peru do not have enough technology that can be supported to provide follow-up to give a better diagnosis to patients who are in rehabilitation. Physical rehabilitation is the most frequent type of treatment in Peru for people with certain physical disabilities (62%). However, many of them fail to successfully complete physical therapy sessions that have programs because they find repetitive and unmotivating exercises. Also, many times during the sessions, a single therapist is in charge of a group of patients, which makes it impossible for him to give 100% of his attention to each one. That is why this project has as its main objective the implementation of an application that allows the use of technology as a support in physical therapy through Kinect 2.0 for patients with shoulder tendinopathy.",Universidad Peruana de Ciencias Aplicadas (UPC),Seguimiento del Paciente en Rehabilitación con Kinect 2.0,Ingeniero de Software
"Chinchay-Celada, Milton Enrique","Segovia Chacón, Maria Fernanda",2018-11-24,"The virtual reality exposure treatments (VRET) are currently being used to provide support for psychological treatments such as cognitive behavioral therapy given to patients with fears and phobias. The objective of this document is to determine the feasibility in terms of effectiveness of the use of VRET to treat social phobia and agoraphobia in the treatment of patients who suffer from it. The effectiveness is evaluated based on the comparison of the reduction of anxiety scores with respect to sweating, heart rate, subjective units of anxiety (SUA) and clinical criteria in a period of 6 weeks of treatment with a specialized psychologist who monitors the software on 5 patients with social phobia and another 5 with agoraphobia.",Universidad Peruana de Ciencias Aplicadas (UPC),Desarrollo de un soporte tecnológico al tratamiento para pacientes que sufren fobia social y agorafobia utilizando escenarios de Virtual Reality,Ingeniero de Software
"Bruggmann Gisler, Marco","Sandoval Nuñovero, Jose Maria",2019-02-08,"Strokes are the main cause of long-term disability in elderly adults in Peru and in the world. One of the major consequences these people undergo is weakening and partial or full upper limbs functionality loss, which can hinder independent living. Nonetheless, most patients could recover by doing self-consciously daily repetition movement exercises in the weakened limbs. Pitifully, patients do not do the exercises by themselves as their therapist suggested due to the fact that they consider the exercises to be monotonous and dull.  

Therefore, in this work, a telerehabilitation system based on games was implemented that aims to motivate patients to perform exercises or necessary movements to convalesce themselves; as well as achieving adherence to their regime prescribed by the therapist, increasing the changes of an astonishing recovery. In summary, the present project represents a great opportunity and challenge to verify that the proposal achieves more adherence than traditional rehabilitation. 

Chapter one explores the project and its objectives in greater detail. Chapter two documents the Student Outcomes fulfilled in this project. Chapter three analyzes the current situation of of the Myo Armband tool which will allow the development of applications oriented to rehabilitation, due to the presence of electromyographs in its composition. Chapter four details the concepts needed to identify and understand the problem space. Chapter five presents the project's development and our contributions. Chapter six describes how project management was carried out. Finally, conclusions generated from this project are listed.",Universidad Peruana de Ciencias Aplicadas (UPC),Desarrollo de aplicaciones con Myo,Ingeniero de Software
"Villalta Riega, Rosario del Pilar","Muñoz Santillana, Dambert Louis",2018-06-05,"El presente proyecto académico consiste en gestionar, planificar y desarrollar proyectos de mantenimiento del sistema de Acreditación ABET. En consecuencia, la complejidad de desarrollo y gestión se incrementan debido a las constantes exigencias de las acreditadoras. El presente proyecto académico está constituido por dos ciclos académicos, 2017-1 y 2017-2. A continuación, se detalla de manera breve en qué consiste el alcance de cada ciclo con respecto al sistema de acreditación ABET. 
En el ciclo 2017-1, el sistema ABET necesitaba un módulo de encuestas graduando, que consiste en enviar una encuesta al correo de los alumnos que hayan egresados satisfactoriamente de su carrera. De esta funcionalidad, se podrá visualizar reportes y manejar la data de manera estratégica tanto se requiera.
Para lograr este primer punto, se ha segmentado en dos frentes completos: El primero, fue utilizar la librería JSON web tokens para asegurar que la información no haya sido vulnerada por terceros de la encuesta enviada. Segundo, los alumnos entrarán a la URL de la encuesta, sin embargo, para una mayor seguridad y autenticidad de la persona, se ha realizado un LDAP para acceder a la funcionalidad de autenticación de la intranet de UPC, lo que permite validar el usuario y clave del alumno.
En el ciclo 2017-2, se requirió implementar al módulo actual de rúbricas las calificaciones de los proyectos académicos. Este consiste en la evaluación, gestión y supervisión de todos los proyectos de Taller de proyecto I y II, para que posteriormente las notas sean subidas a la Intranet de la universidad.

In the present academic project consists of managing, planning and developing maintenance projects of the ABET Accreditation system. As a result, the complexity of management and management may be due to the constant demands of the accrediting firms. The present academic project is constituted by two academic cycles, 2017-1 and 2017-2. Below is a brief description of what the scope of each cycle consists of regarding the ABET accreditation system.
In cycle 2017-1, the ABET system needed a module of graduated surveys, which consists of sending a survey to the mail of the students who have successfully participated in their career. From this functionality, you can view the reports and handle the information in an appropriate manner, as required.
To approve this first point, it has been segmented into two complete fronts: The first was the JSON web tokens library to ensure that the information has not been violated by third parties of the survey sent. Second, students enter the URL of the survey, however, for greater security and authenticity of the person, an LDAP has been made to access the authentication functionality of the UPC intranet, which allows the user to validate and key of the student.
In the 2017-2 cycle, it was required to implement the current module of rubrics the qualifications of the academic projects. This consists of the evaluation, management and supervision of all project projects I and II, so that later the scores are uploaded to the university's intranet.",Universidad Peruana de Ciencias Aplicadas (UPC),Gestión de cambios abet y rúbricas capstone del sistema de acreditación para las carreras de la escuela de Ingeniería de Sistemas y Computación,Ingeniero de Software
"Ugarte Rojas, Willy Gustavo","Vargas Lopez-Lavalle, Renzo Nicolas",2022-12-02,"In our daily lives, spotting a lie can have major implications for various social situations. On the assumption that someone answers a question with untruthful information, they may have details they don't want to share. This knowledge may be of crucial importance in circumstances with moderate or serious consequences, for example for judicial investigations into criminal activities. 

The purpose of the following research is to implement an application for the detection of falsehoods using a webcam. That is, it is required to detect lies using a video. In addition, an investigation is sought to facilitate the development of the previously mentioned system. This research focuses on understanding current lie detection methodologies or technologies and machine learning techniques for the same purpose. In the following work, we will refer to the action of telling a lie as any fact whose final intention is to purposefully transmit a fallacious or misleading statement and whose purpose is to mislead others. 

Through the following research, the management and implementation of the project will be carried out whose purpose is the development of an application with the ability to detect the veracity of various statements of a person through the detection of micro-expressions and their variation through time. This will be achieved using machine learning algorithms and computer vision. This application will provide a new alternative to the other current lie detection methodologies that are based on analyzing the brain state using expensive equipment and qualified specialists, such as polygraphs or ERPs.",Universidad Peruana de Ciencias Aplicadas (UPC),IA de la verdad,Licenciado en Ciencias de la Computación
"Cueva Chávez, Walter Manuel","Fernández Samillán, Diego",2022-06-27,"The present proposal, ""Decision-making algorithm for generating stories in video games using Machine Learning Techniques"", aims to design and develop a video game that has multiple story lines without the need for developers to implement them manually. Automating the development of the story of a video game helps reduce development costs and times, since it reduces the work of the developer team, in addition to allowing the development of a video game with thousands of different story lines. Although it has been possible to create methods to automate the generation of different video game content such as levels, maps, characters, melodies, graphics, among others, there is still no commercially viable way to generate video game stories. We proposed a solution that could be used commercially. To achieve this, we decompose the possible actions into atomic actions, and we endow each non-playable character (NPC) with a machine learning model, so that they are able to make their own decisions in the game world, so that each one decides how to act. procedurally. If NPCs behave differently, then events will happen differently. 

To build the machine learning model with which the NPCs will make decisions, we use Q-Learning, an algorithm belonging to the reinforcement learning paradigm. Unlike other algorithms, this one is model-free, which means that it does not require a model of the environment to work. Nor does it require that a dataset be provided beforehand, it only needs a set of agents (the NPCs), that they can execute actions, and that they receive feedback on their performance. Due to all this, this algorithm is very well suited to our case.",Universidad Peruana de Ciencias Aplicadas (UPC),Algoritmo de toma de decisiones para la generación de historias en videojuegos usando técnicas de machine learning,Licenciado en Ciencias de la Computación
"Canaval Sánchez, Luis Martín","Nureña Jara, Roberto Alonso",2021-10-22,"This project aims to develop a serious game for learning basic gestures of the Peruvian sign language in virtual reality to non-deaf people, employing the HTC Vive device. The game, which we name Sign Shooting, consists of 8 levels where the player must learn 3 gestures for each of these, and finally a test about the learned knowledge. The game implements the Vive Hand Tracking SDK to detect the user’s hands and their spatial features. With this information, we generate a dataset of the gestures to learn, which we use to train a neural network model for sign recognition and validate it with the bias and variance metrics. To validate our proposal, users were asked to complete the game and then answer a survey divided into user game experience and learning. The results obtained in the experiments show an average score in the user experience greater than 4 (of a maximum of 5) and that in the entire game session an average of 17 letter gestures (of a total of 24) are learned, meaning that users consider the game entertaining, immersive and that meets its teaching objective. Finally, we conclude that the use of virtual reality encourages the user to feel committed to the game and seek to reach its goal.",Universidad Peruana de Ciencias Aplicadas (UPC),Serious Game para el aprendizaje de gestos estáticos del lenguaje de señas peruano mediante el uso de realidad virtual,Licenciado en Ciencias de la Computación
"Gonzalez Valenzuela, Ricardo Eugenio","Berru Novoa, Bryan Jos",2019-11-20,"The recognition of sign language gesture through image processing and Machine Learning has been widely studied in recent years. This article presents a dataset consisting of 2400 images of the static gestures of the Peruvian sign language alphabet, in addition to applying it to a recognition system of gestures using low resolution cameras. For the gesture recognition, the Histogram Oriented Gradient feature descriptor was used, along with 4 classification algorithms. The results showed that Histogram Oriented Gradient, along with Support Vector Machine, got the best result with an 89.46% accuracy and the system was able to recognize the gestures with variations of translation, rotation and scale.",Universidad Peruana de Ciencias Aplicadas (UPC),Reconocimiento de gestos estáticos del abecedario de la lengua de señas peruana utilizando cámaras de baja resolución,Licenciado en Ciencias de la Computación
"Burga Durango, Daniel Wilfredo","Linares Salmón, Eduardo Rodrigo",2018-05-01,"In recent years, the advancement of information and communication technologies (ICT) has helped improve the quality of life of people. The paradigm of Internet of Things (IoT) raises innovative solutions that are changing our lifestyle, so we propose the implementation of an intelligent mirror, with which we intend to optimize people's time while preparing to start the day. With the aim of providing information services such as weather, traffic information or public transport, news, music, television and calendar; Ceccaroni implemented a prototype intelligent mirror called Magical Mirror , where people could interact with the mirror using voice commands. Based on this, we have built a device from a reflective glass, an LCD monitor, a Raspberry Pi board, a camera and an IoT platform oriented to cloud computing, where the information displayed in the mirror is obtained through the consumption of web services. , which are customizable thanks to a mobile application, which in turn allows you to obtain the user's photos to access the mirror, by authenticating facial recognition and user information to predict the news that will be displayed according to their profile. In addition, as part of the idea of providing the user with a personalized experience, the intelligent mirror incorporates a news recommendation system, implemented using a predictive model, which in turn uses the Naive Bayes algorithm.",Universidad Peruana de Ciencias Aplicadas (UPC),Desarrollo de aplicaciones biométricas y cognitivas para un modelo de espejo inteligente,Licenciatura  en Ciencias de la Computación
,,,,,,
,,,,,,
,,,,,,
"Miranda Pacheco, Jorge Víctor","Vasquez Torres, Augusto Vladimir",2022,"Teniendo en cuenta que la carrera profesional desarrollada en 15 años la dediqué a la implementación de Soluciones SAP (System Applications and Products in Data Processing), Análisis de Sistemas y Desarrollo de Programas; empresa alemana dedicada al desarrollo de software para la gestión de procesos empresariales. El presente informe, tiene como propósito explicar el desempeño profesional desde la perspectiva técnica, de gestión y aprendizaje continuo, desarrollado en las distintas empresas de marca nacional e internacional donde fui destacado. Parte de mi trabajo es el relevamiento de información de procesos de negocios de diferentes sectores, entendiéndolos en conjunto con el negocio y llevando a la mejora, simplificación y automatización; de la mano con las soluciones tecnológicas SAP. Durante el desempeño profesional se han generado logros y reconocimientos importantes, desarrollando capacidades técnicas, y, capacidad para gestionar proyectos bajo las metodologías de gestión de proyectos principalmente la metodología ASAP (Accelerated SAP ASAP) y la SAP Activate, capacidad para el aprendizaje continuo, explorando y generando autoaprendizaje en las soluciones y tendencias tecnológicas a nivel mundial, y, asimismo demostrando que durante todo este tiempo he desarrollado un nivel profesional alto, respetando y aplicando los valores y normas que el profesional en ingeniería debe aplicar en el ámbito de sus funciones.",Universidad de Lima,La ingeniería de sistemas en el cambio hacia un enfoque por procesos empresariales y soluciones ERP,Ingeniero de Sistemas
"Castillo Mesías, Luis Ernesto","Silva Alberti Postigo, Carlos Alejandro",2022,"This document details the development of the Access Control System implementation project for outsourced personnel in a Peruvian company dedicated to the exploitation and treatment of minerals, with operations in 4 units in Peru and 2 in Brazil. One of the organizational values of the company is safety, the objective of the project, aligned with this value, was to implement a solution that guarantees safety within the main mining unit of the company, preventing the entry of personnel who do not comply with the requirements established by the company in accordance with the current legal framework. It was possible to have a solution that allowed to standardize, integrate and optimize the process through a centralized and specialized administration, which allowed greater fluidity and above all greater reliability, reducing the security risks to which the company is exposed in addition to reducing work operational. In the development, the PMI project management methodology and its 5 phases were used as a reference: Start, planning, execution, control and closure, the phases had a duration of 25 weeks and the 2Personnel system was implemented, leader in the mining sector in This process. One of the main challenges faced was resistance to change, which was faced with a clear communication strategy. The implementation cost was 282 thousand dollars, and it had a functional team, IT team and a team of specialists in 2Personnel.",Universidad de Lima,Mejora en el proceso de control de accesos para personal tercerizado en la unidad Minera de San Rafael en Minsur,Ingeniero de Sistemas
